"","tanggal","brgkt","tiba"
"577",2021-10-18,3351,3918
"578",2021-10-19,3571,3372
"579",2021-10-20,5073,4819
"580",2021-10-21,3861,3828
"581",2021-10-22,3928,3504
"582",2021-10-23,4706,4388
"583",2021-10-24,4346,4852
"584",2021-10-25,3523,4044
"585",2021-10-26,3911,3833
"586",2021-10-27,4852,4693
"587",2021-10-28,4665,4276
"588",2021-10-29,4556,4069
"589",2021-10-30,4646,4760
"590",2021-10-31,4402,4871
"591",2021-11-01,3830,4471
"592",2021-11-02,4274,4348
"593",2021-11-03,5443,4884
"594",2021-11-04,5154,4354
"595",2021-11-05,5259,4264
"596",2021-11-06,5218,5038
"597",2021-11-07,4913,5278
"598",2021-11-08,4518,5055
"599",2021-11-09,4458,4600
"600",2021-11-10,5673,4927
"601",2021-11-11,5297,4447
"602",2021-11-12,5231,4086
"603",2021-11-13,4671,4894
"604",2021-11-14,5002,5715
"605",2021-11-15,4005,4608
"606",2021-11-16,4313,4332
"607",2021-11-17,5662,5021
"608",2021-11-18,4816,4243
"609",2021-11-19,4585,4538
"610",2021-11-20,4204,4523
"611",2021-11-21,4886,5330
"612",2021-11-22,4229,4491
"613",2021-11-23,4155,4068
"614",2021-11-24,5012,4544
"615",2021-11-25,5468,4878
"616",2021-11-26,4938,4461
"617",2021-11-27,5024,5198
"618",2021-11-28,4348,5394
"619",2021-11-29,3952,4631
"620",2021-11-30,4586,4686
"621",2021-12-01,5133,5004
"622",2021-12-02,4615,4514
"623",2021-12-03,4916,4156
"624",2021-12-04,4889,5006
"625",2021-12-05,5156,5340
"626",2021-12-06,4378,4403
"627",2021-12-07,4900,4706
"628",2021-12-08,5505,4921
"629",2021-12-09,5135,4674
"630",2021-12-10,5520,5017
"631",2021-12-11,5271,5128
"632",2021-12-12,5226,5308
"633",2021-12-13,4903,5024
"634",2021-12-14,5271,5363
"635",2021-12-15,5625,4943
"636",2021-12-16,5116,5074
"637",2021-12-17,5475,4929
"638",2021-12-18,5909,5480
"639",2021-12-19,5457,5554
"640",2021-12-20,5042,5164
"641",2021-12-21,4698,4572
"642",2021-12-22,5428,5210
"643",2021-12-23,5329,4950
"644",2021-12-24,3857,3609
"645",2021-12-25,3560,3135
"646",2021-12-26,3113,3225
"647",2021-12-27,3144,3079
"648",2021-12-28,3213,3003
"649",2021-12-29,3252,2841
"650",2021-12-30,3393,3193
"651",2021-12-31,2878,2472
"652",2022-01-01,2231,2658
"653",2022-01-02,3486,3995
"654",2022-01-03,3753,4314
"655",2022-01-04,4489,4989
"656",2022-01-05,4677,5135
"657",2022-01-06,5077,5168
"658",2022-01-07,5005,4795
"659",2022-01-08,5297,5547
"660",2022-01-09,4886,5288
"661",2022-01-10,4511,5522
"662",2022-01-11,4518,5482
"663",2022-01-12,4976,5057
"664",2022-01-13,4891,4759
"665",2022-01-14,4790,4412
"666",2022-01-15,5090,5040
"667",2022-01-16,4663,5391
"668",2022-01-17,3963,4684
"669",2022-01-18,3958,4611
"670",2022-01-19,4425,4471
"671",2022-01-20,4370,4586
"672",2022-01-21,4449,4126
"673",2022-01-22,4008,4345
"674",2022-01-23,4117,4902
"675",2022-01-24,3766,4503
"676",2022-01-25,3675,4119
"677",2022-01-26,4232,4484
"678",2022-01-27,4333,4214
"679",2022-01-28,4827,4238
"680",2022-01-29,4778,4735
"681",2022-01-30,3798,4960
"682",2022-01-31,3335,4341
"683",2022-02-01,4383,4246
"684",2022-02-02,3895,4333
"685",2022-02-03,3905,4114
"686",2022-02-04,4329,4218
"687",2022-02-05,4521,4337
"688",2022-02-06,4115,4504
"689",2022-02-07,3257,3773
"690",2022-02-08,3282,3736
"691",2022-02-09,3833,3593
"692",2022-02-10,3683,3763
"693",2022-02-11,3427,3502
"694",2022-02-12,3226,3641
"695",2022-02-13,3781,4223
"696",2022-02-14,3108,3220
"697",2022-02-15,2965,3590
"698",2022-02-16,3442,3300
"699",2022-02-17,3627,3339
"700",2022-02-18,3354,3214
"701",2022-02-19,3264,3153
"702",2022-02-20,3420,3829
"703",2022-02-21,2837,3540
"704",2022-02-22,2731,2834
"705",2022-02-23,3231,3206
"706",2022-02-24,3544,3467
"707",2022-02-25,3690,3065
"708",2022-02-26,3915,3469
"709",2022-02-27,3289,3373
"710",2022-02-28,3139,3145
"711",2022-03-01,2921,3110
"712",2022-03-02,3497,3328
"713",2022-03-03,3872,3406
"714",2022-03-04,3555,3150
"715",2022-03-05,3436,3331
"716",2022-03-06,3670,4176
"717",2022-03-07,3279,3975
"718",2022-03-08,3261,3670
"719",2022-03-09,4570,4318
"720",2022-03-10,4177,4111
"721",2022-03-11,4789,4215
"722",2022-03-12,4514,4231
"723",2022-03-13,4959,4699
"724",2022-03-14,5248,4282
"725",2022-03-15,4638,4400
"726",2022-03-16,5331,4743
"727",2022-03-17,5548,4586
"728",2022-03-18,5245,4160
"729",2022-03-19,5214,4584
"730",2022-03-20,4884,4875
"731",2022-03-21,4609,4503
"732",2022-03-22,4974,4916
"733",2022-03-23,5237,4768
"734",2022-03-24,5551,4775
"735",2022-03-25,5747,5097
"736",2022-03-26,7135,5801
"737",2022-03-27,5736,5670
"738",2022-03-28,5182,5627
"739",2022-03-29,4992,5445
"740",2022-03-30,5751,5559
"741",2022-03-31,5744,5304
"742",2022-04-01,5261,4568
"743",2022-04-02,4203,4150
"744",2022-04-03,3317,3770
"745",2022-04-04,3141,3840
"746",2022-04-05,3143,3501
"747",2022-04-06,3684,3495
"748",2022-04-07,3470,3311
"749",2022-04-08,3494,3057
"750",2022-04-09,4131,3955
"751",2022-04-10,4062,3750
"752",2022-04-11,3688,3511
"753",2022-04-12,4508,3669
"754",2022-04-13,4468,3380
"755",2022-04-14,4558,3941
"756",2022-04-15,3790,3636
"757",2022-04-16,4357,3955
"758",2022-04-17,4296,4476
"759",2022-04-18,4275,4379
"760",2022-04-19,5112,4182
"761",2022-04-20,5726,4260
"762",2022-04-21,6151,3929
"763",2022-04-22,5463,3691
"764",2022-04-23,6594,4574
"765",2022-04-24,6660,4418
"766",2022-04-25,7156,4167
"767",2022-04-26,7415,3889
"768",2022-04-27,7365,3991
"769",2022-04-28,7896,4679
"770",2022-04-29,8337,5083
"771",2022-04-30,7972,4859
"772",2022-05-01,7675,3276
"773",2022-05-02,5930,2385
"774",2022-05-03,5428,2788
"775",2022-05-04,5060,3158
"776",2022-05-05,5670,4912
"777",2022-05-06,6199,6311
"778",2022-05-07,6720,7629
"779",2022-05-08,6560,7631
"780",2022-05-09,6213,7811
"781",2022-05-10,6430,7645
"782",2022-05-11,6496,7597
"783",2022-05-12,5903,7606
"784",2022-05-13,6049,8008
"785",2022-05-14,6084,7780
"786",2022-05-15,6273,7694
"787",2022-05-16,5555,7475
"788",2022-05-17,5407,7553
"789",2022-05-18,5538,7051
"790",2022-05-19,5573,7014
"791",2022-05-20,5269,7234
"792",2022-05-21,5245,7126
"793",2022-05-22,6267,6727
"794",2022-05-23,5112,6952
"795",2022-05-24,4905,6737
"796",2022-05-25,5597,6915
"797",2022-05-26,6156,6740
"798",2022-05-27,4591,5909
"799",2022-05-28,4603,5448
"800",2022-05-29,4643,6124
"801",2022-05-30,4168,5579
"802",2022-05-31,4544,5786
"803",2022-06-01,5213,5782
"804",2022-06-02,4432,5405
"805",2022-06-03,4595,5028
"806",2022-06-04,5033,5330
"807",2022-06-05,4999,5927
"808",2022-06-06,4567,5957
"809",2022-06-07,4363,4776
"810",2022-06-08,5345,5375
"811",2022-06-09,5337,5249
"812",2022-06-10,7405,5389
"813",2022-06-11,5255,5148
"814",2022-06-12,5374,5543
"815",2022-06-13,5302,5373
